Establecimiento Edu.,Count
Centro de Formación Técnica INACAP,320
Universidad de Santiago de Chile,296
Universidad Técnica Federico Santa María,253
Universidad de Concepción,196
Universidad de Chile,172
Universidad de Antofagasta,102
Universidad de Atacama,96
Liceo Jorge Alessandri Rodríguez,85
Instituto Profesional Inacap,81
Liceo Politécnico Cesáreo Aguirre Goyenechea,76
Universidad de La Serena,74
Universidad Andrés Bello,49
Universidad Central,44
Instituto Profesional IACC,41
Universidad del Bío - Bío,41
Liceo Industrial Ernesto Pinto Lagarrigue,39
Pontificia  Universidad Católica de Chile,39
Universidad De Tarapacá,39
Liceo Francisco de Aguirre,35
IP Chile,33
Universidad Católica de Valparaíso,32
Instituto Profesional Inacap,31
Universidad De Las Américas,30
Liceo Manuel Magalhaes Medling,27
IACC,27
Universidad Tecnológica de Chile Inacap,26
CEDUC UCN,24
Universidad La Republica,23
Colegio Juan Pablo II,22
Centro Educ. Integral de Adultos C.E.I.A.,21
DUOC UC,20
Universidad Mayor,20
Universidad de Aconcagua,20
Centro de Educación de Adultos,20
Liceo Luis Cruz Martínez,15
Liceo Politécnico de Ovalle,15
Liceo Federico Varela,14
Instituto Obispo Silva Lezaeta,13
Liceo Técnico A-4,13
Pontificia Universidad Católica de Valparaíso,11
Liceo Machalí,11
Universidad Bolivariana,11
